test,bearing,known_failure,life_hours,onset_hours,hours_before_failure,onset_pct_life,alarm_episodes,early_false_alarms,alarm_hours,diagnosed_band,diagnosis_correct
1,1,none,827.5588888888889,,,,0,0,[],,
1,2,none,827.5588888888889,,,,0,0,[],,
1,3,inner_race,827.5588888888889,755.1427777777777,72.41611111111115,91.2494310576085,2,0,"[755.1427777777777, 783.9166666666666]",inner_race,True
1,4,roller_element,827.5588888888889,709.9608333333333,117.59805555555556,85.78976588440165,1,0,[709.9608333333333],roller_element,True
2,1,outer_race,163.83333333333334,106.16666666666667,57.66666666666667,64.80162767039675,1,0,[106.16666666666667],outer_race,True
2,2,none,163.83333333333334,,,,0,0,[],,
2,3,none,163.83333333333334,,,,0,0,[],,
2,4,none,163.83333333333334,,,,0,0,[],,
3,1,none,1073.2525,,,,0,0,[],,
3,2,none,1073.2525,,,,0,0,[],,
3,3,outer_race,1073.2525,1048.5858333333333,24.666666666666742,97.7016902670465,1,0,[1048.5858333333333],outer_race,True
3,4,none,1073.2525,402.40305555555557,,37.49379158730639,3,0,"[402.40305555555557, 1049.4191666666666, 1061.7525]",outer_race,
